"Symbol";"Value";"Unit";
"mount_position";"Top mount";"";
"REFERENCE";"USB4160-03-0170-C";"";
"pins";"24";"";
"SUPPLIER";"GCT";"";
"entry";"Top";"";
"TraceParts.PartNumber";"90-15072022-061066";"";
"DESIGN";"USB3.2 Gen2, Type C Receptacle, Vertical, SMT, H=7.46mm, 24 Pin";"";
"gender";"Receptacle";"";
"TRACEPARTS";"TRACEPARTS";"";
"interface";"C";"";
"TraceParts.PartLanguage";"en";"";
"profile";"7,46";"";
"TraceParts.InstanceId";"90-15072022-06106648KDK8Y1Z3GILL7LU5VE9VA80";"";
"TraceParts.PartTitle";"USB4160";"";
"version";"USB3.2 Gen2";"";
"mating_face_lead_in";"Without mating face lead in";"";
"current_rating";"5";"";
"shell_stake_length";"1,7";"";
"TraceParts.PartVersion";"1.0.4";"";
"mount_type";"Surface mount";"";
"style";"Type C";"";
"shell_stakes";"Through hole";"";
"mating_cycles";"20000";"";
"locating_peg";"With locating peg";"";
